device,time,dne,srl,srrn,eda
NC04014,2024-10-28T10:27:25.323Z,100.0,333324,8,
NC04014,2024-10-28T10:28:25.324Z,100.0,221561,7,
NC04014,2024-10-28T10:29:25.326Z,100.0,147096,4,
NC04014,2024-10-28T10:30:25.328Z,74.0,126222,5,
NC04014,2024-10-28T10:31:25.330Z,50.0,115724,3,
NC04014,2024-10-28T10:32:25.332Z,39.0,103028,4,
NC04014,2024-10-28T10:33:25.334Z,37.0,98023,2,
NC04014,2024-10-28T10:34:25.335Z,43.0,96070,2,
NC04014,2024-10-28T10:35:25.337Z,41.0,90455,2,
NC04014,2024-10-28T10:36:25.339Z,41.0,88014,1,
NC04014,2024-10-28T10:37:25.341Z,42.0,109529,2,
NC04014,2024-10-28T10:38:25.343Z,42.0,100465,2,
NC04014,2024-10-28T10:39:25.345Z,37.0,87403,1,
NC04014,2024-10-28T10:40:25.346Z,52.0,85450,4,
NC04014,2024-10-28T10:41:25.348Z,53.0,90333,2,
NC04014,2024-10-28T10:42:25.350Z,50.0,85328,3,
NC04014,2024-10-28T10:43:25.352Z,45.0,80811,3,
NC04014,2024-10-28T10:44:25.354Z,41.0,78004,1,
NC04014,2024-10-28T10:45:25.356Z,42.0,75898,1,
NC04014,2024-10-28T10:48:31.028Z,,,,74621
NC04014,2024-10-28T10:48:31.361Z,,,,74054
NC04014,2024-10-28T10:48:31.694Z,,,,73983
NC04014,2024-10-28T10:48:32.027Z,,,,73346
NC04014,2024-10-28T10:48:32.360Z,,,,73134
NC04014,2024-10-28T10:48:32.693Z,,,,72993
NC04014,2024-10-28T10:48:33.026Z,,,,73064
NC04014,2024-10-28T10:48:33.359Z,,,,73559
NC04014,2024-10-28T10:48:33.692Z,,,,73488
NC04014,2024-10-28T10:48:34.025Z,,,,73417
NC04014,2024-10-28T10:48:34.358Z,,,,73700
NC04014,2024-10-28T10:48:34.691Z,,,,74196
NC04014,2024-10-28T10:48:35.024Z,,,,75117
NC04014,2024-10-28T10:48:35.357Z,,,,83627
